task,precision,recall,f1,number,accuracy,language,model,corpus,subset,validation_duration,tokens,sentences
overall,0.6959582198001817,0.7060585118636259,0.700971983990852,,0.9710806884495112,es,es_core_news_lg,ancora,ancora-es-2.0,8.870864,81226,2603
LOC,0.6223328591749644,0.8071955719557196,0.7028112449799196,1084.0,,es,es_core_news_lg,conll,esp.testb.txt,5.072384,51533,1517
MISC,0.33211678832116787,0.2676470588235294,0.29641693811074915,340.0,,es,es_core_news_lg,conll,esp.testb.txt,5.072384,51533,1517
ORG,0.787740164684355,0.615,0.690734055354994,1400.0,,es,es_core_news_lg,conll,esp.testb.txt,5.072384,51533,1517
PER,0.8608458390177354,0.8585034013605443,0.8596730245231607,735.0,,es,es_core_news_lg,conll,esp.testb.txt,5.072384,51533,1517
overall,0.7010838562464347,0.6906434391683057,0.6958244869072895,,0.9564550870316109,es,es_core_news_lg,conll,esp.testb.txt,5.072384,51533,1517
LOC,0.5032032984459245,0.6980202375714915,0.5848138591964614,11365.0,,es,es_core_news_lg,wikiann,wikiann-es.bio,55.305998,161715,25000
MISC,0.0,0.0,0.0,0.0,,es,es_core_news_lg,wikiann,wikiann-es.bio,55.305998,161715,25000
ORG,0.52858380251191,0.22635385756676557,0.31697182184131933,10784.0,,es,es_core_news_lg,wikiann,wikiann-es.bio,55.305998,161715,25000
PER,0.6196424725393065,0.6837789661319074,0.6501327608609684,8415.0,,es,es_core_news_lg,wikiann,wikiann-es.bio,55.305998,161715,25000
overall,0.47124824684431976,0.5276796230859835,0.4978699759214669,,0.6466747055004174,es,es_core_news_lg,wikiann,wikiann-es.bio,55.305998,161715,25000
LOC,0.7461300309597523,0.8181818181818182,0.7804965815041383,2651.0,,zh,zh_core_web_lg,ontonotes,VALIDATION_zh,16.71444,119229,6543
MISC,0.5206738131699847,0.42446941323345816,0.4676753782668501,801.0,,zh,zh_core_web_lg,ontonotes,VALIDATION_zh,16.71444,119229,6543
ORG,0.638755980861244,0.6576354679802956,0.6480582524271845,1218.0,,zh,zh_core_web_lg,ontonotes,VALIDATION_zh,16.71444,119229,6543
PER,0.7716084716657127,0.8440826549780839,0.80622009569378,1597.0,,zh,zh_core_web_lg,ontonotes,VALIDATION_zh,16.71444,119229,6543
overall,0.7099527511050144,0.7432583373224828,0.7262238852510133,,0.967952427681185,zh,zh_core_web_lg,ontonotes,VALIDATION_zh,16.71444,119229,6543
LOC,0.0042293233082706765,0.005668696199874029,0.004844352740647708,9526.0,,zh,zh_core_web_lg,wikiann,wikiann-zh.bio,65.118253,521445,25000
MISC,0.0,0.0,0.0,0.0,,zh,zh_core_web_lg,wikiann,wikiann-zh.bio,65.118253,521445,25000
ORG,0.05555555555555555,0.0007909306617453203,0.0015596568754873928,11379.0,,zh,zh_core_web_lg,wikiann,wikiann-zh.bio,65.118253,521445,25000
PER,0.0011132043158075013,0.0012598119972865587,0.0011819793608219304,10319.0,,zh,zh_core_web_lg,wikiann,wikiann-zh.bio,65.118253,521445,25000
overall,0.00248463449718844,0.002434025108890597,0.0024590694363554005,,0.722434772603055,zh,zh_core_web_lg,wikiann,wikiann-zh.bio,65.118253,521445,25000
LOC,0.5897786280404482,0.8140324405884571,0.6839936608557845,2651.0,,zh,zh_core_web_trf,ontonotes,VALIDATION_zh,163.245281,119229,6543
MISC,0.4045643153526971,0.4868913857677903,0.4419263456090652,801.0,,zh,zh_core_web_trf,ontonotes,VALIDATION_zh,163.245281,119229,6543
ORG,0.6315018315018315,0.7077175697865353,0.6674409601238869,1218.0,,zh,zh_core_web_trf,ontonotes,VALIDATION_zh,163.245281,119229,6543
PER,0.8812121212121212,0.9104571070757671,0.8955959347089621,1597.0,,zh,zh_core_web_trf,ontonotes,VALIDATION_zh,163.245281,119229,6543
overall,0.6368159203980099,0.7761289293122706,0.6996044588277598,,0.9565541940299759,zh,zh_core_web_trf,ontonotes,VALIDATION_zh,163.245281,119229,6543
LOC,0.0040974663595587345,0.017740919588494646,0.006657343759232633,9526.0,,zh,zh_core_web_trf,wikiann,wikiann-zh.bio,611.328333,521445,25000
MISC,0.0,0.0,0.0,0.0,,zh,zh_core_web_trf,wikiann,wikiann-zh.bio,611.328333,521445,25000
ORG,0.0034058936768843477,0.0020212672466824854,0.002536951246415178,11379.0,,zh,zh_core_web_trf,wikiann,wikiann-zh.bio,611.328333,521445,25000
PER,0.0019025422721111085,0.007752689214071131,0.0030553009471432934,10319.0,,zh,zh_core_web_trf,wikiann,wikiann-zh.bio,611.328333,521445,25000
