"corpus","lang","task","precision","recall","specificity","f1","evaluation_time","subset","language","sentences","tokens"
"hipe","de","MISC",NA,0,1,NA,44.6153736114502,"HIPE-data-v1.4-test-de","de",49,30737
"hipe","de","O",0.92871816610689,0.999368398891189,0.0232350312779267,0.962748876043674,44.6153736114502,"HIPE-data-v1.4-test-de","de",49,30737
"hipe","de","ORG",0.454545454545455,0.0791139240506329,0.999013839124289,0.134770889487871,44.6153736114502,"HIPE-data-v1.4-test-de","de",49,30737
"hipe","de","PER",0.866666666666667,0.0131979695431472,0.999932777628395,0.026,44.6153736114502,"HIPE-data-v1.4-test-de","de",49,30737
"hipe","fr","LOC",NA,0,1,NA,45.2324798107147,"HIPE-data-v1.4-test-fr","fr",43,40854
"hipe","fr","MISC",NA,0,1,NA,45.2324798107147,"HIPE-data-v1.4-test-fr","fr",43,40854
"hipe","fr","O",0.916107629929967,0.999410235101734,0.0385806814981695,0.955947588399703,45.2324798107147,"HIPE-data-v1.4-test-fr","fr",43,40854
"hipe","fr","ORG",0.342465753424658,0.0748502994011976,0.998815399802567,0.122850122850123,45.2324798107147,"HIPE-data-v1.4-test-fr","fr",43,40854
"hipe","fr","PER",0.953488372093023,0.0439207284413498,0.999897401698002,0.0839733742959549,45.2324798107147,"HIPE-data-v1.4-test-fr","fr",43,40854
"hipe","en","LOC",NA,0,1,NA,45.8683986663818,"HIPE-data-v1.4-test-en","en",46,16634
"hipe","en","MISC",NA,0,1,NA,45.8683986663818,"HIPE-data-v1.4-test-en","en",46,16634
"hipe","en","O",0.924790245669101,0.998631208447399,0.0356037151702786,0.960293334169043,45.8683986663818,"HIPE-data-v1.4-test-en","en",46,16634
"hipe","en","ORG",0.387755102040816,0.0644067796610169,0.998163902319603,0.11046511627907,45.8683986663818,"HIPE-data-v1.4-test-en","en",46,16634
"hipe","en","PER",0.555555555555556,0.01669449081803,0.999501091362644,0.0324149108589951,45.8683986663818,"HIPE-data-v1.4-test-en","en",46,16634
"kind","it","LOC",NA,0,1,NA,44.9310159683228,"WN","it",2088,56519
"kind","it","O",0.932495498474994,0.997190293742018,0.346728307254623,0.963758414751094,44.9310159683228,"WN","it",2088,56519
"kind","it","ORG",0.717592592592593,0.233433734939759,0.996643864507492,0.352272727272727,44.9310159683228,"WN","it",2088,56519
"kind","it","PER",0.967474048442907,0.602067183462532,0.999132793328044,0.742235200424741,44.9310159683228,"WN","it",2088,56519
"kind","it","LOC",NA,0,1,NA,44.15771484375,"ADG","it",521,13905
"kind","it","O",0.957146986558751,0.999924505511098,0.100151745068285,0.978068232166593,44.15771484375,"ADG","it",521,13905
"kind","it","ORG",0.966101694915254,0.174846625766871,0.999852713749172,0.296103896103896,44.15771484375,"ADG","it",521,13905
"kind","it","PER",1,0.0353982300884956,1,0.0683760683760684,44.15771484375,"ADG","it",521,13905
"kind","it","LOC",NA,0,1,NA,43.5175185203552,"FIC","it",1517,27190
"kind","it","O",0.982707237205195,1,0.0228690228690229,0.991278206650831,43.5175185203552,"FIC","it",1517,27190
"kind","it","ORG",0,0,0.999889661260068,NA,43.5175185203552,"FIC","it",1517,27190
"kind","it","PER",1,0.018058690744921,1,0.0354767184035477,43.5175185203552,"FIC","it",1517,27190
"nerkor","hu","LOC",NA,0,1,NA,45.2181832790375,"nerkor","hu",6752,103025
"nerkor","hu","MISC",NA,0,1,NA,45.2181832790375,"nerkor","hu",6752,103025
"nerkor","hu","O",0.948479820935963,0.999668898155142,0.17717152712449,0.973401843735832,45.2181832790375,"nerkor","hu",6752,103025
"nerkor","hu","ORG",0.769230769230769,0.2361782071927,0.998695162215061,0.361396303901437,45.2181832790375,"nerkor","hu",6752,103025
"nerkor","hu","PER",0.959322033898305,0.252340615247436,0.999761862237304,0.399576420755383,45.2181832790375,"nerkor","hu",6752,103025
"sonar","nl","LOC",NA,0,1,NA,44.8685297966003,"SoNaR-1","nl",8993,150339
"sonar","nl","MISC",NA,0,1,NA,44.8685297966003,"SoNaR-1","nl",8993,150339
"sonar","nl","O",0.923497563250711,0.999568347429107,0.17114610032955,0.960028388030651,44.8685297966003,"SoNaR-1","nl",8993,150339
"sonar","nl","ORG",0.616465863453815,0.238910505836576,0.997414884041984,0.344363432417274,44.8685297966003,"SoNaR-1","nl",8993,150339
"sonar","nl","PER",0.894285714285714,0.35781651900543,0.998992100245165,0.511124719330476,44.8685297966003,"SoNaR-1","nl",8993,150339
"finer","fi","LOC",NA,0,1,NA,44.0873522758484,"digitoday.2015.test","fi",3512,46363
"finer","fi","MISC",NA,0,1,NA,44.0873522758484,"digitoday.2015.test","fi",3512,46363
"finer","fi","O",0.894658001982597,0.998426629299113,0.158986985578614,0.943698299098429,44.0873522758484,"digitoday.2015.test","fi",3512,46363
"finer","fi","ORG",0.614825581395349,0.178782755705833,0.993976862058777,0.277013752455796,44.0873522758484,"digitoday.2015.test","fi",3512,46363
"finer","fi","PER",0.657142857142857,0.295345104333868,0.99790118058592,0.407530454042082,44.0873522758484,"digitoday.2015.test","fi",3512,46363
"emerging","en","LOC",NA,0,1,NA,44.2349915504456,"emerging.test.annotated.conll","en",1287,23394
"emerging","en","MISC",NA,0,1,NA,44.2349915504456,"emerging.test.annotated.conll","en",1287,23394
"emerging","en","O",0.931900413507926,0.999122563960469,0.0913793103448276,0.964341430800089,44.2349915504456,"emerging.test.annotated.conll","en",1287,23394
"emerging","en","ORG",0.395348837209302,0.105263157894737,0.997746088162628,0.166259168704156,44.2349915504456,"emerging.test.annotated.conll","en",1287,23394
"emerging","en","PER",0.934782608695652,0.153571428571429,0.999737233949374,0.263803680981595,44.2349915504456,"emerging.test.annotated.conll","en",1287,23394
"ontonotes","en","LOC",NA,0,1,NA,46.0758991241455,"VALIDATION_en","en",14110,269914
"ontonotes","en","MISC",NA,0,1,NA,46.0758991241455,"VALIDATION_en","en",14110,269914
"ontonotes","en","O",0.9375,0.994836337124292,0.183830416563964,0.965317525873378,46.0758991241455,"VALIDATION_en","en",14110,269914
"ontonotes","en","ORG",0.731244064577398,0.285784980823951,0.99675745041649,0.410958904109589,46.0758991241455,"VALIDATION_en","en",14110,269914
"ontonotes","en","PER",0.558902635825713,0.250723938223938,0.996914625428002,0.34616025320673,46.0758991241455,"VALIDATION_en","en",14110,269914
"ontonotes","zh","LOC",NA,0,1,NA,44.556854724884,"VALIDATION_zh","zh",6543,119229
"ontonotes","zh","MISC",NA,0,1,NA,44.556854724884,"VALIDATION_zh","zh",6543,119229
"ontonotes","zh","O",0.938263909362759,0.999058219946005,0.0528560351512019,0.967707184000417,44.556854724884,"VALIDATION_zh","zh",6543,119229
"ontonotes","zh","ORG",0.6475,0.128154379020287,0.998797010442973,0.21396117306898,44.556854724884,"VALIDATION_zh","zh",6543,119229
"ontonotes","zh","PER",0.947368421052632,0.0666666666666667,0.999948983496161,0.124567474048443,44.556854724884,"VALIDATION_zh","zh",6543,119229
"ontonotes","ar","LOC",NA,0,1,NA,43.6681060791016,"VALIDATION_ar","ar",1220,36101
"ontonotes","ar","MISC",NA,0,1,NA,43.6681060791016,"VALIDATION_ar","ar",1220,36101
"ontonotes","ar","O",0.902895137830725,0.999877278026631,0.000570287995437696,0.948914673382929,43.6681060791016,"VALIDATION_ar","ar",1220,36101
"ontonotes","ar","ORG",NA,0,1,NA,43.6681060791016,"VALIDATION_ar","ar",1220,36101
"ontonotes","ar","PER",0.333333333333333,0.00241545893719807,0.999886598814958,0.00479616306954436,43.6681060791016,"VALIDATION_ar","ar",1220,36101
"wikiann","cs","LOC",NA,0,1,NA,51.2637395858765,"wikiann-cs.bio","cs",25000,216379
"wikiann","cs","O",0.7017145662979,0.999821525457609,0.219781659960945,0.824654065830536,51.2637395858765,"wikiann-cs.bio","cs",25000,216379
"wikiann","cs","ORG",0.967666232073012,0.143182344316691,0.999348948078609,0.249453836587907,51.2637395858765,"wikiann-cs.bio","cs",25000,216379
"wikiann","cs","PER",0.968595679012346,0.424016213477453,0.997820895842034,0.58982732291789,51.2637395858765,"wikiann-cs.bio","cs",25000,216379
"wikiann","it","LOC",NA,0,1,NA,56.6900737285614,"wikiann-it.bio","it",25000,204846
"wikiann","it","O",0.699565536308751,0.999741968778222,0.341259433378696,0.823141220132384,56.6900737285614,"wikiann-it.bio","it",25000,204846
"wikiann","it","ORG",0.917933130699088,0.129039776258546,0.998341727060558,0.226271157579266,56.6900737285614,"wikiann-it.bio","it",25000,204846
"wikiann","it","PER",0.973455015210235,0.594024157660521,0.996151545725316,0.737816240800985,56.6900737285614,"wikiann-it.bio","it",25000,204846
"wikiann","hu","LOC",NA,0,1,NA,53.6057317256927,"wikiann-hu.bio","hu",25000,225045
"wikiann","hu","O",0.754366674739646,0.999653386224028,0.267732339860221,0.859859265741505,53.6057317256927,"wikiann-hu.bio","hu",25000,225045
"wikiann","hu","ORG",0.954997836434444,0.200882901743048,0.998975732745036,0.331942094378643,53.6057317256927,"wikiann-hu.bio","hu",25000,225045
"wikiann","hu","PER",0.963357904530165,0.50421395662434,0.997418678282614,0.661962134251291,53.6057317256927,"wikiann-hu.bio","hu",25000,225045
"wikiann","pt","LOC",NA,0,1,NA,56.8062863349915,"wikiann-pt.bio","pt",25000,160570
"wikiann","pt","O",0.464773659119654,0.999402271368799,0.177597437266418,0.63448092667609,56.8062863349915,"wikiann-pt.bio","pt",25000,160570
"wikiann","pt","ORG",0.921164021164021,0.0886320826757624,0.997542957026483,0.161705289555566,56.8062863349915,"wikiann-pt.bio","pt",25000,160570
"wikiann","pt","PER",0.895982004343779,0.451316714855044,0.990064900426743,0.600270228134906,56.8062863349915,"wikiann-pt.bio","pt",25000,160570
"wikiann","ca","LOC",NA,0,1,NA,52.8546280860901,"wikiann-ca.bio","ca",25000,152634
"wikiann","ca","O",0.521411412707317,0.997921455806847,0.168089814594872,0.684942249096535,52.8546280860901,"wikiann-ca.bio","ca",25000,152634
"wikiann","ca","ORG",0.919773095623987,0.14670400689358,0.997705216961305,0.253046967895363,52.8546280860901,"wikiann-ca.bio","ca",25000,152634
"wikiann","ca","PER",0.952597533858904,0.394896719319563,0.996357762470198,0.558336542164035,52.8546280860901,"wikiann-ca.bio","ca",25000,152634
"wikiann","de","LOC",NA,0,1,NA,51.5611290931702,"wikiann-de.bio","de",25000,247528
"wikiann","de","O",0.758938998901075,0.999460849134237,0.215744830003505,0.862750093080676,51.5611290931702,"wikiann-de.bio","de",25000,247528
"wikiann","de","ORG",0.955511811023622,0.171319662584266,0.998968954583818,0.290545596025499,51.5611290931702,"wikiann-de.bio","de",25000,247528
"wikiann","de","PER",0.959050273959435,0.426823529411765,0.998099512386629,0.590739534608325,51.5611290931702,"wikiann-de.bio","de",25000,247528
"wikiann","zh","LOC",NA,0,1,NA,43.6367082595825,"wikiann-zh.bio","zh",25000,521445
"wikiann","zh","O",0.73818508051164,0.999556834652402,0.0133994965213543,0.849214645771136,43.6367082595825,"wikiann-zh.bio","zh",25000,521445
"wikiann","zh","ORG",0.403508771929825,0.00118489516253671,0.999779798450817,0.00236285185946168,43.6367082595825,"wikiann-zh.bio","zh",25000,521445
"wikiann","zh","PER",0.924160346695558,0.0387331138608242,0.999706744868035,0.0743500904316751,43.6367082595825,"wikiann-zh.bio","zh",25000,521445
"wikiann","fr","LOC",NA,0,1,NA,58.3120381832123,"wikiann-fr.bio","fr",25000,171850
"wikiann","fr","O",0.523621715788179,0.999480814873418,0.191250522242012,0.687215533617499,58.3120381832123,"wikiann-fr.bio","fr",25000,171850
"wikiann","fr","ORG",0.927690700104493,0.112214975479043,0.997384573519185,0.200211983853145,58.3120381832123,"wikiann-fr.bio","fr",25000,171850
"wikiann","fr","PER",0.958978817578249,0.462808971620384,0.996436271749729,0.624318205207369,58.3120381832123,"wikiann-fr.bio","fr",25000,171850
"cnec2.0","cs","LOC",NA,0,1,NA,45.8620309829712,"named_ent_etest","cs",899,20146
"cnec2.0","cs","MISC",NA,0,1,NA,45.8620309829712,"named_ent_etest","cs",899,20146
"cnec2.0","cs","O",0.848547300693676,0.999763103346165,0.0760502913216805,0.917969493460942,45.8620309829712,"named_ent_etest","cs",899,20146
"cnec2.0","cs","ORG",0.69620253164557,0.0767085076708508,0.998764733130887,0.138190954773869,45.8620309829712,"named_ent_etest","cs",899,20146
"cnec2.0","cs","PER",0.92485549132948,0.169133192389006,0.999322916666667,0.285969615728329,45.8620309829712,"named_ent_etest","cs",899,20146
"wikiann","nl","LOC",NA,0,1,NA,59.5588715076447,"wikiann-nl.bio","nl",25000,211184
"wikiann","nl","O",0.717947494033413,0.99944626561531,0.297847900712965,0.835626585677513,59.5588715076447,"wikiann-nl.bio","nl",25000,211184
"wikiann","nl","ORG",0.946671782083253,0.200772986167616,0.99851021414332,0.331285872520391,59.5588715076447,"wikiann-nl.bio","nl",25000,211184
"wikiann","nl","PER",0.962860914987659,0.543939295674168,0.996412451620773,0.695165668579954,59.5588715076447,"wikiann-nl.bio","nl",25000,211184
"wikiann","es","LOC",NA,0,1,NA,56.6336314678192,"wikiann-es.bio","es",25000,161715
"wikiann","es","O",0.461975217696483,0.998933068854627,0.186520820855531,0.631774528485689,56.6336314678192,"wikiann-es.bio","es",25000,161715
"wikiann","es","ORG",0.930141029845851,0.126978441424702,0.996360405310733,0.223452242598538,56.6336314678192,"wikiann-es.bio","es",25000,161715
"wikiann","es","PER",0.90353121801433,0.448570823629049,0.991810282404055,0.599507626135431,56.6336314678192,"wikiann-es.bio","es",25000,161715
"wikiann","en","LOC",NA,0,1,NA,58.4783041477203,"wikiann-en.bio","en",25000,205018
"wikiann","en","O",0.553057053586715,0.99917841056274,0.177441906262308,0.712008816337776,58.4783041477203,"wikiann-en.bio","en",25000,205018
"wikiann","en","ORG",0.932123960695389,0.107522756600286,0.996959477761525,0.192804990541111,58.4783041477203,"wikiann-en.bio","en",25000,205018
"wikiann","en","PER",0.863893481855365,0.355628000286595,0.991169030626073,0.503844689760183,58.4783041477203,"wikiann-en.bio","en",25000,205018
"wikiann","fi","LOC",NA,0,1,NA,54.8995532989502,"wikiann-fi.bio","fi",25000,208477
"wikiann","fi","O",0.741632890618036,0.999583041815959,0.264288700430005,0.851501122756744,54.8995532989502,"wikiann-fi.bio","fi",25000,208477
"wikiann","fi","ORG",0.942801429964251,0.121711768407804,0.999046804085744,0.215591557669441,54.8995532989502,"wikiann-fi.bio","fi",25000,208477
"wikiann","fi","PER",0.972008445140639,0.516764428995583,0.997727511486849,0.674783102054325,54.8995532989502,"wikiann-fi.bio","fi",25000,208477
"wikiann","ar","LOC",NA,0,1,NA,44.7727799415588,"wikiann-ar.bio","ar",25000,161749
"wikiann","ar","O",0.425027681190388,0.999025934494095,0.0754646259565828,0.596345069750751,44.7727799415588,"wikiann-ar.bio","ar",25000,161749
"wikiann","ar","ORG",0.757988165680473,0.0401970628843981,0.996850963574349,0.0763454317897372,44.7727799415588,"wikiann-ar.bio","ar",25000,161749
"wikiann","ar","PER",0.912664532194948,0.234506398537477,0.996489572385589,0.373136499163697,44.7727799415588,"wikiann-ar.bio","ar",25000,161749
"aqmar","ar","LOC",NA,0,1,NA,45.4393351078033,"aqmar","ar",404,10417
"aqmar","ar","MISC",NA,0,1,NA,45.4393351078033,"aqmar","ar",404,10417
"aqmar","ar","O",0.880245350988219,0.998784798939461,0.0989010989010989,0.935776018216633,45.4393351078033,"aqmar","ar",404,10417
"aqmar","ar","ORG",0.397260273972603,0.182389937106918,0.995710664846949,0.25,45.4393351078033,"aqmar","ar",404,10417
"aqmar","ar","PER",0.89041095890411,0.176151761517615,0.999203821656051,0.294117647058823,45.4393351078033,"aqmar","ar",404,10417
