task,precision,recall,f1,number,accuracy,language,corpus,subset,validation_duration,tokens,sentences
overall,0.5850622406639004,0.47796610169491527,0.5261194029850746,,0.8925559222588926,de,europeana,enp_DE.lft.txt,0.394566,2727,78
LOC,0.825,0.7983870967741935,0.8114754098360655,124.0,,de,europeana,enp_DE.sbb.txt,1.183894,7270,477
MISC,0.0,0.0,0.0,0.0,,de,europeana,enp_DE.sbb.txt,1.183894,7270,477
ORG,0.4838709677419355,0.3488372093023256,0.4054054054054055,43.0,,de,europeana,enp_DE.sbb.txt,1.183894,7270,477
PER,0.6063829787234043,0.6785714285714286,0.6404494382022472,84.0,,de,europeana,enp_DE.sbb.txt,1.183894,7270,477
overall,0.5135135135135135,0.6812749003984063,0.5856164383561644,,0.9613480055020632,de,europeana,enp_DE.sbb.txt,1.183894,7270,477
LOC,0.8485436893203884,0.5517676767676768,0.668706962509564,2376.0,,de,germeval2014,NER-de-test,27.350883,96499,5100
MISC,0.32716650438169426,0.4318766066838046,0.3722991689750692,778.0,,de,germeval2014,NER-de-test,27.350883,96499,5100
ORG,0.7316561844863732,0.524812030075188,0.6112084063047285,1330.0,,de,germeval2014,NER-de-test,27.350883,96499,5100
PER,0.8431734317343174,0.8093270365997639,0.8259036144578313,1694.0,,de,germeval2014,NER-de-test,27.350883,96499,5100
overall,0.7212732919254659,0.6014891550663645,0.6559576345984113,,0.9592327381630897,de,germeval2014,NER-de-test,27.350883,96499,5100
LOC,0.7479674796747967,0.6184873949579832,0.6770929162833487,595.0,,de,hipe,HIPE-data-v1.4-test-de,2.578262,30737,49
MISC,0.01529051987767584,0.08064516129032258,0.02570694087403599,62.0,,de,hipe,HIPE-data-v1.4-test-de,2.578262,30737,49
ORG,0.21,0.16153846153846155,0.1826086956521739,130.0,,de,hipe,HIPE-data-v1.4-test-de,2.578262,30737,49
PER,0.19197707736389685,0.21543408360128619,0.20303030303030306,311.0,,de,hipe,HIPE-data-v1.4-test-de,2.578262,30737,49
